Recall,TOR,,,,,,,,,,PHX,,,,,,,,,
k,10,20,30,40,50,60,70,80,90,100,10,20,30,40,50,60,70,80,90,100
GEAPR-SC,0.026454,0.043493,0.059001,0.071953,0.082972,0.094947,0.103992,0.112784,0.12187,0.129561,0.028823,0.05293,0.07376,0.092182,0.107494,0.123239,0.13779,0.152203,0.164558,0.175876
GEAPR-NI,0.025586,0.043533,0.058268,0.071184,0.08245,0.093807,0.105513,0.114774,0.123722,0.132617,0.028987,0.052492,0.073069,0.090634,0.107315,0.121759,0.136147,0.149432,0.162067,0.173922
GEAPR-AT,0.02432,0.044644,0.05897,0.073191,0.085574,0.095691,0.105999,0.114766,0.122309,0.131112,0.028493,0.051969,0.073585,0.090403,0.106544,0.121532,0.136282,0.14939,0.162442,0.174192
GEAPR-GEO,0.021073,0.034909,0.048039,0.057776,0.067824,0.07801,0.085527,0.092286,0.100476,0.10721,0.019673,0.037155,0.052411,0.06673,0.078258,0.090635,0.102028,0.113048,0.121999,0.129991
GEAPR-PA,0.022848,0.039722,0.054247,0.067612,0.079034,0.090812,0.100622,0.110337,0.119302,0.128676,0.024115,0.045861,0.064836,0.081911,0.098313,0.112653,0.125,0.137315,0.149587,0.159858
GEAPR,0.026529,0.046219,0.060913,0.073958,0.087056,0.09755,0.107466,0.117372,0.12726,0.135736,0.030294,0.053988,0.074222,0.093425,0.110811,0.125718,0.141048,0.154215,0.168012,0.178804
