PREC,TOR,,,,,,,,,,PHX,,,,,,,,,
k,10,20,30,40,50,60,70,80,90,100,10,20,30,40,50,60,70,80,90,100
GEAPR-SC,0.007483,0.006142,0.005583,0.005192,0.004855,0.004681,0.004438,0.004251,0.004108,0.003949,0.007662,0.007069,0.006588,0.006163,0.005813,0.005564,0.005338,0.005163,0.004984,0.004811
GEAPR-NI,0.007086,0.00633,0.005719,0.005231,0.004903,0.004674,0.00447,0.004291,0.004132,0.004009,0.007574,0.007002,0.006472,0.006035,0.005731,0.005434,0.00522,0.005029,0.00487,0.0047
GEAPR-AT,0.007118,0.006554,0.005896,0.005466,0.005097,0.004797,0.004607,0.004364,0.004172,0.004027,0.007459,0.006963,0.006564,0.006092,0.005761,0.005498,0.005302,0.00508,0.004935,0.00478
GEAPR-GEO,0.006251,0.005234,0.004926,0.004454,0.004189,0.004008,0.003787,0.003615,0.003507,0.00338,0.00543,0.005151,0.004863,0.004635,0.004358,0.004206,0.004077,0.003939,0.003813,0.003676
GEAPR-PA,0.006575,0.005829,0.005309,0.004983,0.004696,0.004498,0.004288,0.004142,0.003997,0.003896,0.00652,0.006218,0.005917,0.005581,0.005366,0.00513,0.004906,0.004725,0.004595,0.004433
GEAPR,0.007504,0.006637,0.005931,0.005487,0.005187,0.004872,0.004631,0.004435,0.004292,0.00413,0.007848,0.007118,0.00659,0.006274,0.005935,0.005632,0.005429,0.0052,0.005035,0.004853
