MAP,TOR,,,,,,,,,,PHX,,,,,,,,,
k,10,20,30,40,50,60,70,80,90,100,10,20,30,40,50,60,70,80,90,100
GEAPR-SC,0.00667,0.007864,0.008565,0.00899,0.009287,0.009549,0.009721,0.009873,0.010012,0.010117,0.006935,0.008647,0.009593,0.010215,0.010638,0.011003,0.011292,0.011546,0.011745,0.01191
GEAPR-NI,0.006795,0.008068,0.008728,0.009154,0.009454,0.009694,0.009906,0.010068,0.010204,0.01032,0.00686,0.008543,0.009488,0.010068,0.010523,0.010864,0.011143,0.01137,0.011572,0.01174
GEAPR-AT,0.006526,0.007931,0.008595,0.009057,0.00938,0.009609,0.009806,0.00995,0.010068,0.01018,0.006765,0.008417,0.009406,0.00998,0.010421,0.010758,0.011059,0.011288,0.011496,0.011663
GEAPR-GEO,0.005648,0.006633,0.007212,0.007538,0.007804,0.008023,0.008166,0.008279,0.0084,0.008488,0.004664,0.005924,0.006606,0.007074,0.007387,0.007661,0.007882,0.008062,0.008204,0.008316
GEAPR-PA,0.005633,0.006829,0.00748,0.00791,0.008201,0.008456,0.008638,0.008806,0.008934,0.009064,0.005587,0.007146,0.008001,0.008576,0.009017,0.009333,0.00957,0.009777,0.009968,0.010115
GEAPR,0.006983,0.00834,0.009002,0.009443,0.00979,0.010026,0.010212,0.010378,0.010531,0.010649,0.00732,0.00902,0.009952,0.010603,0.011062,0.011403,0.011711,0.011941,0.012159,0.01231
